Condition,Level,Avg Score,Score Std,Count,Success Rate
C1,Lv1,2.0,2.309401076758503,4,0.0
C1,Lv2,2.625,2.065879266282796,8,0.0
C1,Lv3,3.25,2.0615528128088303,4,0.0
C1,Lv4,1.0,2.0,4,0.0
