Condition,Level,Success,Turns,Actionability,Compliance,IntentAcc,RepairTurns,ReframeEndorse
C0,Lv1,1.0,1.0,5.0,1.0,,0.0,
C1,Lv1,1.0,1.0,5.0,1.0,1.0,0.0,1.0
